City,State,code,population
Vermilion city,Ohio,OH,"10,733"
Nanticoke city,Pennsylvania,PA,"10,730"
Excelsior Springs city,Missouri,MO,"10,727"
Waynesville town,North Carolina,NC,"10,709"
Mount Kisco village,New York,NY,"10,698"
Vernal city,Utah,UT,"10,698"
Placerville city,California,CA,"10,695"
Cottage Grove city,Oregon,OR,"10,690"
Jackson town,Wyoming,WY,"10,680"
Le Mars city,Iowa,IA,"10,674"
Rifle city,Colorado,CO,"10,663"
Worth village,Illinois,IL,"10,660"
Versailles city,Kentucky,KY,"10,656"
Port Townsend city,Washington,WA,"10,649"
Freeport city,Texas,TX,"10,635"
Atoka town,Tennessee,TN,"10,624"
East Rutherford borough,New Jersey,NJ,"10,624"
Mahomet village,Illinois,IL,"10,619"
Barrington village,Illinois,IL,"10,615"
Fort Oglethorpe city,Georgia,GA,"10,614"
Somers Point city,New Jersey,NJ,"10,611"
Bellmead city,Texas,TX,"10,607"
Sonoma city,California,CA,"10,606"
Corning city,New York,NY,"10,605"
Tipp City city,Ohio,OH,"10,596"
Morro Bay city,California,CA,"10,591"
Little Canada city,Minnesota,MN,"10,590"
Northampton borough,Pennsylvania,PA,"10,587"
Mount Airy city,North Carolina,NC,"10,583"
Monroe city,Wisconsin,WI,"10,579"
Waverly city,Iowa,IA,"10,576"
Bluffton city,Indiana,IN,"10,556"
Beverly Hills village,Michigan,MI,"10,552"
Richmond Heights city,Ohio,OH,"10,552"
South Amboy city,New Jersey,NJ,"10,549"
Alpine city,Utah,UT,"10,548"
La Grange city,Kentucky,KY,"10,541"
Garden City city,Georgia,GA,"10,536"
Fairview city,Tennessee,TN,"10,535"
Snohomish city,Washington,WA,"10,534"
Crestwood village,Illinois,IL,"10,533"
Bay St. Louis city,Mississippi,MS,"10,526"
Franklin city,Kentucky,KY,"10,524"
Cadillac city,Michigan,MI,"10,521"
Paris city,Tennessee,TN,"10,517"
Zebulon town,North Carolina,NC,"10,505"
Farmersville city,California,CA,"10,501"
Reading city,Ohio,OH,"10,482"
Canandaigua city,New York,NY,"10,476"
Española city,New Mexico,NM,"10,475"
Boaz city,Alabama,AL,"10,473"
Farmington city,Arkansas,AR,"10,473"
Clinton city,Tennessee,TN,"10,458"
Warr Acres city,Oklahoma,OK,"10,456"
Sandpoint city,Idaho,ID,"10,444"
Lyons village,Illinois,IL,"10,440"
Forest Acres city,South Carolina,SC,"10,438"
Galena Park city,Texas,TX,"10,438"
River Grove village,Illinois,IL,"10,424"
Avon Park city,Florida,FL,"10,415"
Vienna city,West Virginia,WV,"10,406"
Bellefontaine Neighbors city,Missouri,MO,"10,401"
Columbia borough,Pennsylvania,PA,"10,399"
Wood-Ridge borough,New Jersey,NJ,"10,397"
Bel Air town,Maryland,MD,"10,395"
Cody city,Wyoming,WY,"10,391"
Silverton city,Oregon,OR,"10,391"
Robstown city,Texas,TX,"10,383"
Airmont village,New York,NY,"10,380"
Munhall borough,Pennsylvania,PA,"10,371"
Bogalusa city,Louisiana,LA,"10,367"
Ellisville city,Missouri,MO,"10,359"
Providence Village town,Texas,TX,"10,350"
Rainbow City city,Alabama,AL,"10,349"
Berwick borough,Pennsylvania,PA,"10,332"
Kendallville city,Indiana,IN,"10,326"
Wasilla city,Alaska,AK,"10,318"
Reedsburg city,Wisconsin,WI,"10,314"
Cedartown city,Georgia,GA,"10,313"
Glenwood Springs city,Colorado,CO,"10,311"
Waldwick borough,New Jersey,NJ,"10,308"
Galion city,Ohio,OH,"10,304"
St. Albans city,West Virginia,WV,"10,301"
Riverdale village,Illinois,IL,"10,299"
Malibu city,California,CA,"10,298"
Independence city,Oregon,OR,"10,295"
Wabash city,Indiana,IN,"10,275"
Watervliet city,New York,NY,"10,268"
Hillsdale borough,New Jersey,NJ,"10,266"
Hermantown city,Minnesota,MN,"10,265"
Sweet Home city,Oregon,OR,"10,265"
Taylorville city,Illinois,IL,"10,263"
Safford city,Arizona,AZ,"10,257"
Winchester city,Tennessee,TN,"10,251"
Wood River city,Illinois,IL,"10,251"
Flat Rock city,Michigan,MI,"10,249"
Rio Vista city,California,CA,"10,248"
Shasta Lake city,California,CA,"10,244"
Clay city,Alabama,AL,"10,241"
Jesup city,Georgia,GA,"10,235"
Mont Belvieu city,Texas,TX,"10,229"
Town of Pecos city,Texas,TX,"10,224"
Warrenton town,Virginia,VA,"10,224"
Helotes city,Texas,TX,"10,223"
Maywood borough,New Jersey,NJ,"10,221"
New Hyde Park village,New York,NY,"10,220"
Harrisburg city,South Dakota,SD,"10,203"
Hartland village,Wisconsin,WI,"10,203"
Lago Vista city,Texas,TX,"10,201"
Winfield village,Illinois,IL,"10,199"
Sweetwater city,Texas,TX,"10,196"
Maryville city,Missouri,MO,"10,193"
Pea Ridge city,Arkansas,AR,"10,190"
Exeter city,California,CA,"10,186"
Columbia City city,Indiana,IN,"10,185"
Paris city,Kentucky,KY,"10,185"
Cleveland city,Mississippi,MS,"10,183"
Hackettstown town,New Jersey,NJ,"10,182"
Fairmont city,Minnesota,MN,"10,176"
Cumming city,Georgia,GA,"10,175"
Dripping Springs city,Texas,TX,"10,165"
Groton city,Connecticut,CT,"10,160"
Ingleside city,Texas,TX,"10,155"
Ironton city,Ohio,OH,"10,147"
Valley city,Alabama,AL,"10,144"
Burlington city,New Jersey,NJ,"10,143"
Sanger city,Texas,TX,"10,142"
Woodbury city,New Jersey,NJ,"10,138"
Kennett city,Missouri,MO,"10,137"
Baker City city,Oregon,OR,"10,135"
Molalla city,Oregon,OR,"10,134"
San Elizario city,Texas,TX,"10,128"
Carroll city,Iowa,IA,"10,125"
Elkhorn city,Wisconsin,WI,"10,122"
Alpena city,Michigan,MI,"10,116"
Camden city,Arkansas,AR,"10,116"
Kinnelon borough,New Jersey,NJ,"10,108"
Monett city,Missouri,MO,"10,108"
Raymondville city,Texas,TX,"10,107"
Auburn city,Georgia,GA,"10,094"
Lancaster village,New York,NY,"10,094"
Green Cove Springs city,Florida,FL,"10,087"
Mechanicsburg borough,Pennsylvania,PA,"10,085"
Decatur city,Indiana,IN,"10,072"
Spring Hill city,Kansas,KS,"10,070"
Bel Aire city,Kansas,KS,"10,066"
Oneida city,New York,NY,"10,066"
East Rockaway village,New York,NY,"10,064"
Chatham borough,New Jersey,NJ,"10,062"
Canal Winchester city,Ohio,OH,"10,060"
Cairo city,Georgia,GA,"10,057"
Sellersburg town,Indiana,IN,"10,057"
North Bend city,Oregon,OR,"10,049"
Marathon city,Florida,FL,"10,039"
Cambridge city,Ohio,OH,"10,036"
Lincoln City city,Oregon,OR,"10,034"
Detroit Lakes city,Minnesota,MN,"10,033"
Highland city,Illinois,IL,"10,028"
Mooresville town,Indiana,IN,"10,027"
Cape Canaveral city,Florida,FL,"10,014"
Mission city,Kansas,KS,"10,013"
Corte Madera town,California,CA,"10,006"
Windsor village,Wisconsin,WI,"10,005"
