City,State,code,population
Bellingham city,Washington,WA,"95,860"
Mount Pleasant town,South Carolina,SC,"95,604"
Kirkland city,Washington,WA,"95,499"
O'Fallon city,Missouri,MO,"95,355"
Greenville city,North Carolina,NC,"95,138"
Asheville city,North Carolina,NC,"94,992"
Fall River city,Massachusetts,MA,"94,689"
Manteca city,California,CA,"94,292"
Indio city,California,CA,"94,275"
Chino city,California,CA,"94,010"
Norwalk city,Connecticut,CT,"93,661"
Redding city,California,CA,"93,502"
Lehi city,Utah,UT,"93,446"
Livonia city,Michigan,MI,"93,113"
Hoover city,Alabama,AL,"93,013"
Erie city,Pennsylvania,PA,"92,940"
Hemet city,California,CA,"92,912"
North Port city,Florida,FL,"92,875"
Sandy city,Utah,UT,"92,840"
Roswell city,Georgia,GA,"92,227"
Champaign city,Illinois,IL,"91,961"
Nashua city,New Hampshire,NH,"91,851"
Mission Viejo city,California,CA,"91,601"
Bryan city,Texas,TX,"91,541"
